,name,mission_title,hours_mission,decade_of_mission,year_of_mission,sex,year_of_birth,nationality,total_number_of_missions,total_hrs_sum
67,Jugderdemidiin Gurragchaa,Soyuz 39,188.7,1980,1981,male,1947,Mongolia,1,188.7
68,"Crippen, Robert L.",STS-1,54.0,1980,1981,male,1937,U.S.,4,565.0
69,"Crippen, Robert L.",STS-7,146.0,1980,1983,male,1937,U.S.,4,565.0
70,"Crippen, Robert L.",STS-41-C,168.0,1980,1984,male,1937,U.S.,4,565.0
71,"Crippen, Robert L.",STS-41-G,197.0,1980,1984,male,1937,U.S.,4,565.0
72,Dumitru Prunariu,Soyuz 40,188.7,1980,1981,male,1952,Romania,1,188.7
73,"Engle, Joe H.",STS-2,30.0,1980,1981,male,1932,U.S.,2,224.0
74,"Engle, Joe H.",STS-51-I,170.0,1980,1985,male,1932,U.S.,2,224.0
75,"Truly, Richard H.",STS-2,54.21,1980,1981,male,1937,U.S.,2,199.34
76,"Truly, Richard H.",STS-8,145.13,1980,1983,male,1937,U.S.,2,199.34
77,"Fullerton, Charles G.",STS-3,192.0,1980,1982,male,1936,U.S.,2,382.0
78,"Fullerton, Charles G.",STS-51-F,190.0,1980,1985,male,1936,U.S.,2,382.0
